IP Address,Country,Owner,Malicious,Suspicious,Undetected,Total
13.64.180.106,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,32,94
40.83.247.108,US,MICROSOFT-CORP-MSN-AS-BLOCK,1,0,31,94
74.125.135.188,US,GOOGLE,0,0,29,94
52.108.0.40,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,32,94
34.106.114.22,US,GOOGLE-CLOUD-PLATFORM,0,0,31,94
20.42.144.52,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,32,94
104.42.213.30,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,94,94
3.163.189.96,US,AMAZON-02,0,0,31,94
192.168.0.13,,,0,0,31,94
3.163.189.36,US,AMAZON-02,0,0,31,94
35.186.224.45,US,GOOGLE,0,0,31,94
3.163.189.14,US,AMAZON-02,0,0,31,94
52.96.165.2,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,31,94
52.108.0.47,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,31,94
13.107.136.10,US,MICROSOFT-CORP-MSN-AS-BLOCK,1,0,30,94
3.140.159.227,US,AMAZON-02,0,0,94,94
13.58.194.14,US,AMAZON-02,0,0,31,94
52.123.188.103,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,94,94
52.112.84.174,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,94,94
52.96.164.66,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,32,94
35.186.224.24,US,GOOGLE,0,0,31,94
13.107.138.10,US,MICROSOFT-CORP-MSN-AS-BLOCK,1,0,30,94
40.97.205.18,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,30,94
104.192.140.13,US,AMAZON-02,0,0,31,94
104.192.140.15,US,AMAZON-02,0,0,30,94
52.108.0.75,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,94,94
20.234.76.14,IE,MICROSOFT-CORP-MSN-AS-BLOCK,1,0,32,94
52.96.91.50,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,31,94
40.82.248.225,US,MICROSOFT-CORP-MSN-AS-BLOCK,0,0,32,94
104.154.127.247,US,GOOGLE-CLOUD-PLATFORM,0,0,32,94
